legacyId,name,description,mainImage,published,finishLegacyId,finishName,finishImage,price,costPrice,sourceVendor,sourceSku,sourceUrl,sourceProductId,sourcePriceRsd,inStock
europrofil-o04c0006170,ORN N 96 ruč.7834-L crna,Europrofil art. O04C0006170,https://www.europrofil.rs/upload/compres/1652868441.webp,true,crna,Crna,https://www.europrofil.rs/upload/compres/1652868441.webp,167,0,europrofil,O04C0006170,https://www.europrofil.rs/proizvod/orn-n-96-ru%C4%8D7834-l-crna-6170,19738,166.98,false
europrofil-o04c0006172,ORN N 96 ruč.7836-T bela,Europrofil art. O04C0006172,https://www.europrofil.rs/upload/Product/Image/2019-01/compres/ORN%20N%207836-T%20bela.webp,true,bela,Bela,https://www.europrofil.rs/upload/Product/Image/2019-01/compres/ORN%20N%207836-T%20bela.webp,182,0,europrofil,O04C0006172,https://www.europrofil.rs/proizvod/orn-n-96-ru%C4%8D7836-t-bela-6172,19740,182.16,true
europrofil-o04c0006174,ORN N 96 ruč.7836-T crna,Europrofil art. O04C0006174,https://www.europrofil.rs/upload/Product/Image/2019-01/compres/ORN%20N%207836-T%20crna.webp,true,crna,Crna,https://www.europrofil.rs/upload/Product/Image/2019-01/compres/ORN%20N%207836-T%20crna.webp,182,0,europrofil,O04C0006174,https://www.europrofil.rs/proizvod/orn-n-96-ru%C4%8D7836-t-crna-6174,19742,182.16,true
europrofil-o04c0006176,ORN N 128 ruč.7834-L bela,Europrofil art. O04C0006176,https://www.europrofil.rs/upload/compres/1652868693.webp,true,bela,Bela,https://www.europrofil.rs/upload/compres/1652868693.webp,190,0,europrofil,O04C0006176,https://www.europrofil.rs/proizvod/orn-n-128-ru%C4%8D7834-l-bela-6176,19744,189.76,false
europrofil-o04c0006178,ORN N 128 ruč.7834-L crna,Europrofil art. O04C0006178,https://www.europrofil.rs/upload/compres/1652868754.webp,true,crna,Crna,https://www.europrofil.rs/upload/compres/1652868754.webp,190,0,europrofil,O04C0006178,https://www.europrofil.rs/proizvod/orn-n-128-ru%C4%8D7834-l-crna-6178,19746,189.76,false
europrofil-o04c0006180,ORN N 128 ruč.7836-T bela,Europrofil art. O04C0006180,https://www.europrofil.rs/upload/Product/Image/2019-01/compres/ORN%20N%207836-T%20bela-1.webp,true,bela,Bela,https://www.europrofil.rs/upload/Product/Image/2019-01/compres/ORN%20N%207836-T%20bela-1.webp,205,0,europrofil,O04C0006180,https://www.europrofil.rs/proizvod/orn-n-128-ru%C4%8D7836-t-bela-6180,19748,204.94,true
europrofil-o04c0006182,ORN N 128 ruč.7836-T crna,Europrofil art. O04C0006182,https://www.europrofil.rs/upload/Product/Image/2019-01/compres/ORN%20N%207836-T%20crna-1.webp,true,crna,Crna,https://www.europrofil.rs/upload/Product/Image/2019-01/compres/ORN%20N%207836-T%20crna-1.webp,205,0,europrofil,O04C0006182,https://www.europrofil.rs/proizvod/orn-n-128-ru%C4%8D7836-t-crna-6182,19750,204.94,true
europrofil-o04c0006184,ORN N 160 ruč.7834-L bela,Europrofil art. O04C0006184,https://www.europrofil.rs/upload/compres/1652868863.webp,true,bela,Bela,https://www.europrofil.rs/upload/compres/1652868863.webp,213,0,europrofil,O04C0006184,https://www.europrofil.rs/proizvod/orn-n-160-ru%C4%8D7834-l-bela-6184,19752,212.52,false
europrofil-o04c0006186,ORN N 160 ruč.7834-L crna,Europrofil art. O04C0006186,https://www.europrofil.rs/upload/compres/1652868996.webp,true,crna,Crna,https://www.europrofil.rs/upload/compres/1652868996.webp,213,0,europrofil,O04C0006186,https://www.europrofil.rs/proizvod/orn-n-160-ru%C4%8D7834-l-crna-6186,19754,212.52,false
europrofil-o04c0006188,ORN N 160 ruč.7836-T bela,Europrofil art. O04C0006188,https://www.europrofil.rs/upload/Product/Image/2019-01/compres/ORN%20N%207836-T%20bela-2.webp,true,bela,Bela,https://www.europrofil.rs/upload/Product/Image/2019-01/compres/ORN%20N%207836-T%20bela-2.webp,228,0,europrofil,O04C0006188,https://www.europrofil.rs/proizvod/orn-n-160-ru%C4%8D7836-t-bela-6188,19756,227.70,true
